chassis,variant,mc_idx,alpha,r_max,kd_max,beta_ATPM,Ka_r,Ki_r,PFL_inh_K,gamma_NADH,X,glc,EtOH,For,Ac,peak_S,opt_frac
LY01,A,30,0.566362928469238,12.560587313742403,3.9274738418262265,0.07313141876993551,1.6559658040584064,13.32415489944217,0.4934987093530289,0.035881496376435396,0.33838416169381014,39.79919113406275,25.09754665525261,4.737224362127913,0.1733610396719875,4.842403038411986,1.0
LY01,A,31,0.526919738179257,9.313086936980827,4.724330764194084,0.09588421310869708,2.619930646964877,14.199627208109671,0.4795044366679392,0.014874892038546122,0.34113687405978826,39.68313277064928,25.23878160500109,5.042909086425419,0.17489454373799418,4.505163761432646,1.0
LY01,A,32,0.7870203267753673,13.394261920942983,3.0758195325903657,0.1392106311059989,2.2170261279090386,12.622692598677498,0.9052989246203168,0.011596561069813641,0.31061754012270115,40.98503101930001,23.176260502337673,4.2967006378647925,0.158885030575176,6.72902379392939,1.0
LY01,A,33,0.3837345586318651,12.894890462927663,5.0001475194381175,0.09041978365485841,1.6056482837833572,15.81228345979707,1.4861530680254602,0.017192500265586132,0.35036900191778453,39.28820272334029,25.900885918474447,5.066754907865277,0.17964783325823896,3.280930476302447,1.0
LY01,A,34,0.06783682964544246,13.446144515962427,4.718966705126821,0.11224062338098241,1.1999689161755929,14.509291305792154,1.4445729670120033,0.027592783162824076,0.3581800560359313,38.96768568349919,26.378592501577337,5.36733573684238,0.18399596571735374,0.5800048934685331,1.0
LY01,A,35,0.6932632279500228,12.304033616317803,3.9892475933503126,0.07779447683024891,2.671939911340596,10.671221095506043,0.6919826766052435,0.03920391573538825,0.32184406181193875,40.5162740876747,23.897592006803368,4.648096479144891,0.16493760263096513,5.927400598972695,1.0
LY01,A,36,1.1324428167304186,7.204786902234596,3.308576953923925,0.10810407386213722,1.3221423299337143,9.886674247426743,0.84612710555234,0.03700375603045078,0.2185725710939338,45.03040225466239,16.495659298085673,3.0914207618617464,0.11135756553322301,9.68238608304508,1.0
LY01,A,37,1.0041875794969117,11.57459677444313,5.890513006389384,0.07176746243492592,1.61831266024657,12.756573694893122,1.3236129770324834,0.03403935827091004,0.2074638221697163,45.54656671199208,15.663058682882587,2.717298872958019,0.10717333170560225,8.585803804698596,1.0
LY01,A,38,1.3256145601459273,9.15833716723604,4.320404951655185,0.09110316412749314,1.6386501982805575,11.909452908666214,1.4502112117477464,0.035269557959199484,0.12511400162617203,49.18573643087633,9.637656726723778,1.7153761977258166,0.06547212882699571,11.334004489247679,1.0
LY01,A,39,0.726680943681589,10.399818578903346,4.599636431089877,0.10553064459386319,0.9622695878015386,9.776604927351013,1.1717309459610596,0.025454649218272174,0.3089224840346327,41.06631159399898,23.08251564298256,3.994014140151016,0.15817966663533384,6.2131220684775865,1.0
LY01,A,40,1.4167008497977338,11.910884195654184,5.376600031906225,0.11742448922715602,1.8154523144932282,11.304768230762248,1.0399534068784664,0.013842650419083046,0.07189039297103006,51.57617522951012,5.699855491728249,0.8958959047950321,0.037538041203426735,12.112792265770622,1.0
LY01,A,41,0.25139143770289835,10.092438460396831,3.5275879693395895,0.13815414779234286,2.992000847631605,11.780619881850315,0.7874884762915912,0.03365174659126026,0.3541764117799744,39.12026445346117,26.14642927864641,5.298432726532992,0.18163392306820295,2.1493967923597808,1.0
LY01,A,42,0.02486946788873095,9.627506601966644,5.2455324940485415,0.13170827870459806,2.5834397936393554,13.80297537252935,0.5562888892403701,0.031262009757225706,0.3587585499573478,38.94606353384537,26.411097786804643,5.377472832829744,0.18434347234954282,0.21263395044864963,1.0
LY01,A,43,0.22329009324083243,11.22821625461936,4.904406023042627,0.13380876738830771,2.7188270387198212,15.466576938500783,1.2150452486877779,0.02432748617572645,0.3550636136161669,39.08669552296803,26.197271984375803,5.3138145438704685,0.182161222360488,1.909130297209117,1.0
LY01,A,44,1.3024624594737582,11.815513667806545,4.973084818550495,0.07332589984742575,2.81633261091721,9.50938933940359,0.8174410646116665,0.016990591699746795,0.11639578857712803,49.59242290263762,8.95689468538603,1.5939483589437269,0.05938304825965358,11.13605402850063,1.0
LY01,A,45,0.5053024329665529,13.185635545383446,3.2981529697557193,0.1270256380548189,1.6730620012547508,11.135740460399816,0.5388931918038811,0.013509409787691773,0.34348948809465385,39.56922853423158,25.473883944882388,4.850404490076682,0.17584650483851177,4.320335801864027,1.0
LY01,A,46,0.7582085000104615,9.160429105799027,5.485167314040591,0.11587066095300386,1.2205959698888262,12.196072651006785,0.7723789982521272,0.03460618795487599,0.29387777818465544,41.725611277793845,21.950661850238205,4.065559631354087,0.1505506157628883,6.482682675089444,1.0
LY01,A,47,0.0656009220851177,7.00836230634409,4.7471599496084345,0.10042643168436777,1.952394710388019,14.151195049389248,1.3518693562275423,0.024414992778366174,0.3583176114079951,38.96254636540377,26.38631648619353,5.369747201063641,0.18407863237171154,0.5608878838277562,1.0
LY01,A,48,0.40696845386942154,9.38100353211869,3.735531058227685,0.0928004269860091,1.294230036820902,15.952955550134398,0.9062131323234065,0.027048249388630215,0.3500451312062327,39.29754865612154,25.8808917996211,5.108043730674176,0.17943358767755527,3.479580280583554,1.0
LY01,A,49,0.6370260986290034,8.086550052170331,3.3913691739674134,0.1036849108555363,2.235477250380678,15.589626086422058,1.459595517599173,0.03729933329493787,0.33225518549181593,40.0531015279017,24.64338806951002,4.919138563387998,0.1701361054222894,5.446573143277979,1.0
LY01,A,50,0.6168072793125426,8.04663627471506,3.435683704490965,0.10315780459908752,2.314072982656749,15.197273137272347,1.430364587216653,0.03250237048587449,0.3347341623971611,39.94798599853645,24.81176071212997,4.965861786942247,0.1714444622055341,5.273702238122239,1.0
