alpha,scenario,EtOH,Ac,For,peak_S,yield
1.15,AS-2,13.439186949482377,1.620046755502052,3.897188873015363,9.8325,1.4798561145041562
1.2,AS-2,12.27623997000262,1.4046090122236137,3.405756748887089,10.26,1.4823906428034332
1.25,AS-2,11.125507026416347,1.2106486203056974,2.9586632142118794,10.6875,1.4843473342619091
1.3,AS-2,9.989525402572111,1.0366430966664475,2.5533594332506984,11.115,1.483640974189209
1.35,AS-2,8.902945871084551,0.8825594775071715,2.191036311082348,11.5425,1.4822799592741402
1.4,AS-2,7.871513281914431,0.7468754834044888,1.8690739295480856,11.97,1.4790448649251773
1.45,AS-2,6.908351051008192,0.6286883786356153,1.5855950502370189,12.3975,1.4742098547892086
1.5,AS-2,6.023657471513689,0.5265646276595288,1.3384482216274776,12.825,1.4681904486092678
0.0,AS-3,18.002018143460575,17.07452495632927,36.00403628692115,0.0,0.8370181801350152
0.05,AS-3,17.991655765479944,16.188030323220456,34.171720915491605,0.4275,0.8595306424718374
0.1,AS-3,18.148387621462607,14.622724207131366,30.94432535284773,0.855,0.906486476142277
0.15,AS-3,18.47410553712266,13.128018972248832,27.869728918657657,1.2825,0.9595033978618156
0.2,AS-3,18.88546076425334,11.812513465375735,25.168789655295583,1.71,1.0125100562454286
0.25,AS-3,19.322890664244063,10.664341869364918,22.81454654002398,2.1375,1.0632826082717108
0.3,AS-3,19.749258157687045,9.657234296136776,20.75121469271623,2.565,1.110919309942339
0.35,AS-3,20.14022522067747,8.767268764590105,18.928387219225105,2.9925,1.155086545314915
0.4,AS-3,20.478306464374327,7.974831835769143,17.304839627456996,3.42,1.1957303378478643
0.45,AS-3,20.74964669148524,7.26407145077116,15.84726702989608,3.8475,1.2329445943451869
0.5,AS-3,20.9423437401733,6.622109555126536,14.528588847728038,4.275,1.26690283583466
0.55,AS-3,21.045661596401192,6.038411385165286,13.326613675081274,4.7025,1.2978195026199155
0.6,AS-3,21.0497945653498,5.504332628643666,12.223094108550947,5.13,1.3259267013978118
0.65,AS-3,20.945997770260856,5.012800344128864,11.203072794635554,5.5575,1.3514598016924737
0.7,AS-3,20.72696803386053,4.558083188469478,10.254423099737387,5.985,1.3746484775651902
0.75,AS-3,20.38738439152222,4.135616750149619,9.36751002706012,6.4125,1.3957112676894254
0.8,AS-3,19.924521204872168,3.741859256781946,8.53491673773992,6.84,1.4148524735326242
0.85,AS-3,19.33884221446242,3.374160248229292,7.7511969910164895,7.2675,1.4322606268397942
0.9,AS-3,18.63448018389592,3.030630654976214,7.012625767668071,7.695,1.4481080037169474
0.95,AS-3,17.819511171184942,2.710007841792752,6.316931114443771,8.1225,1.4625508205700588
1.0,AS-3,16.90594966322154,2.411513932444731,5.66300078461395,8.55,1.475729854083882
1.05,AS-3,15.909422206977862,2.134710055170625,5.050567465105924,8.9775,1.48777130234647
1.1,AS-3,14.848519959635174,1.8793526536882568,4.479885357276307,9.405,1.4987877576513926
1.15,AS-3,13.743877900393354,1.6452601851461224,3.9514172841076207,9.8325,1.5088791997618962
1.2,AS-3,12.617070885408085,1.432198977430024,3.465554130064827,10.26,1.5181339456270213
1.25,AS-3,11.489444948528178,1.2397956581144325,3.022386729418819,10.6875,1.5266295105889391
1.3,AS-3,10.381009911654708,1.0674807134584423,2.621544708187673,11.115,1.5344333491515512
1.35,AS-3,9.309505181890238,0.9144640515687836,2.2621085776503054,11.5425,1.5416034520461146
1.4,AS-3,8.289718697951157,0.7797397545048411,1.942592449762872,11.97,1.5481887819723636
1.45,AS-3,7.33309739709179,0.6621142609306632,1.66098697679236,12.3975,1.5542295341672103
1.5,AS-3,6.447645652373351,0.5602505060964659,1.4148468830728915,12.825,1.5597572109324445
