chassis,variant,mc_idx,alpha,r_max,kd_max,beta_ATPM,Ka_r,Ki_r,PFL_inh_K,gamma_NADH,EtOH,peak_S,X_final,yield
WT,A,18,0.0669281584537708,10.422777606587037,4.324372328775698,0.1159876624651453,1.178759825294959,12.607082196632774,0.4437433048603825,0.0117782514578875,18.18772193266645,0.5722357547797403,0.5072648437038049,0.9111095020873596
WT,A,19,1.457419076685504,8.972289071615364,4.197658584656755,0.1274305825963903,2.3491085740633637,10.577559760950397,0.6235015902639193,0.0125792183587221,6.491561033293878,12.46093310566106,0.0950026262845482,1.4993791611494576
WT,A,20,1.417515671626551,9.129239205093228,5.256081584491509,0.1133870027979503,1.6869879839559985,15.540419415928838,0.5810732977442133,0.0225006842976974,5.567098922455869,12.119758992407007,0.0767427602634573,1.5608126841132506
WT,A,21,0.5572846815406975,10.001691841306917,3.537050414560174,0.1029999868303482,2.5617183846477687,14.469222838302446,0.8776725461729701,0.0298157727970969,19.86786060261773,4.764784027172965,0.4055921675938858,1.1901179151607455
WT,A,22,0.430444805626166,7.36443163273314,2.564789588491668,0.0962771942890504,2.5386563649421934,14.048796469700797,0.9175656107001264,0.0384836559673065,19.17383487355792,3.68030308810372,0.4448377886274211,1.06896611491429
WT,A,23,1.2066923441336104,13.373971317674869,3.3454324547354384,0.0928990958198913,1.753622530418958,9.136657480109198,1.298394908743458,0.0203177454202794,14.19023995250098,10.31721954234237,0.201776158376953,1.5668688501499504
WT,A,24,0.1107153183914472,9.684270554610174,4.940711738217731,0.0976327575682285,2.912418751251985,11.483742153171043,1.0638867146457534,0.0123771701201636,18.0048588976182,0.946615972246874,0.5253426883734224,0.8743817211036867
WT,A,25,0.8595226813372181,13.567291505288878,2.7167564521804115,0.0822218745020233,2.1456407306667997,12.706724386743364,1.2226621026209463,0.014673693257425,20.497357563167363,7.348918925433214,0.3289123014097078,1.4428825732659027
WT,A,26,1.1944542388967834,7.174457162143961,4.819476556296124,0.0867917597934535,0.8599540330587192,11.181450381439708,1.4651533208281018,0.0241013856396529,11.620004831203111,10.212583742567498,0.1635833629871289,1.5698234913980411
WT,A,27,0.3954271891583009,6.3514904365465625,5.359846664404845,0.0791884321355959,1.5635780071850391,14.708809158642795,1.4980335386525765,0.013911562599797,20.08319037305523,3.380902467303472,0.4276256468138445,1.1501501246644852
WT,A,28,1.1413147487897417,12.345439287756165,4.914307167471455,0.1355719787649549,1.8062487685020625,13.914540207734609,0.7565833259784388,0.0246041256417009,12.36395839441511,9.75824110215229,0.1783589151001069,1.544730761740823
WT,A,29,1.1717700885318076,12.600362098961778,4.586404026209197,0.115182333583259,1.0049773697648596,13.77772292242886,1.47053700250465,0.0233688004041495,12.752164215789245,10.018634256946957,0.171631233057011,1.627134810552469
WT,A,30,0.5844284649682426,11.11000039537877,5.161907511024696,0.0987292608017552,2.843580428056589,14.112103820513283,1.0572370285763375,0.0112079597311618,19.453788642595185,4.996863375478474,0.3965436527270549,1.191668964465681
WT,A,31,0.0136287103606141,12.548090530145776,3.0115708139474635,0.1246349457204479,2.045064272056626,12.228326731751814,0.90381528377227,0.0108230379883667,17.993262052189948,0.1165254735832506,0.549262207005244,0.8389141481991843
WT,A,32,1.3004956070071612,11.683478004961025,3.201482269305306,0.1320678554178495,2.232772579518426,9.064179388534043,1.4834038319103051,0.0339556436011207,11.976316585238056,11.119237439911227,0.1765507746084787,1.515088018544897
WT,A,33,0.6939880494218928,7.534519872767722,4.035945099897838,0.0908443693681102,1.837161810552022,12.312507309403763,1.3998233412148997,0.0254489252447317,20.136669444649076,5.933597822557184,0.3659727884713442,1.3070680024733934
WT,A,34,0.1645376456602158,8.738939589688352,5.534835239978522,0.0742416478295885,1.4532480993924537,15.69256904483402,1.105582995656864,0.0395397272321071,18.81817184576516,1.4067968703948457,0.4720234637666913,1.000674269431702
WT,A,35,0.4466812635594869,11.539951006066577,4.711059474624788,0.0943397613337759,1.5298047666017258,13.232550989239249,0.5746697565762486,0.0367016419326503,21.53972535121397,3.819124803433613,0.3909646273259071,1.3115325032313296
WT,A,36,1.060753352837385,9.485698612139425,2.748210235203847,0.0726580664724939,2.659160439434805,9.588031587167167,0.8080570475626907,0.037235994913748,16.840055788029375,9.069441166759642,0.2858365894197448,1.3745960731403783
WT,A,37,0.6817404225321568,12.913300994056256,3.311423663010811,0.0696295765817609,1.6798190384704317,15.897232026394224,0.5006887807426008,0.0307992148200238,21.86679402190169,5.82888061264994,0.3533146291433374,1.437433393947495
WT,A,38,0.2590836234276774,6.403940329594208,4.319300951284397,0.1114981618730454,0.9540881673041336,15.593106726123075,0.4278722401460136,0.0135636290859347,20.54893911354756,2.2151649803066418,0.4279874874911619,1.1719351784998082
WT,A,39,0.5864458644323025,11.229889131076764,4.266049622486047,0.1280389587778511,2.3623647556417464,12.42920227289637,0.7197427032820616,0.0272119181762674,20.167745889253187,5.014112140896186,0.3859366441802722,1.2544567152349544
WT,A,40,1.3785390359481575,6.921900235897411,5.99244283319195,0.0656874258328916,1.4378478608024712,11.71728155080927,0.7085808781154013,0.0197695233731892,5.284597994828888,11.78650875735675,0.0746819680827877,1.5334232666218852
WT,A,41,0.6068366443475041,6.248133752232297,2.522274291973772,0.0773402445029339,1.824862054350952,15.071913024291206,0.4660057061858227,0.0286811025364597,20.412847256773443,5.188453309171161,0.4000001379183656,1.2311731837857094
WT,A,42,1.3380354504719283,7.346676684303085,5.9150344602485525,0.1069706065570493,1.0887920194614074,12.742813150790976,0.5147994832566369,0.0109481764937754,6.231263708530406,11.440203101534989,0.0851817953416313,1.578896959977914
WT,A,43,0.0795893493622597,6.084156949317208,4.8500795589132775,0.1094189765462013,2.68974064839459,14.540701398548844,1.1895208626942146,0.0366324723710144,17.959429158845563,0.6804889370473213,0.5385104154639733,0.8526869351974816
WT,A,44,1.0286882935341284,7.993987349521445,3.968110855874533,0.0894923652384445,2.7553683666028093,10.53444661007915,1.434383221853079,0.0353489771436538,15.079945844672965,8.795284909716798,0.2690177360785564,1.3179366579779568
WT,A,45,0.0176515917440884,12.64792905132639,2.650546992138015,0.1141915451747812,2.32979640908845,14.763897094716722,1.1661748336711244,0.0155609463771256,17.991174252481933,0.1509211094119564,0.5487937429911357,0.8394785910022761
WT,A,46,1.4378492142613857,10.94748599612782,5.460230602553263,0.0614406972736853,2.199679424656937,14.603507468278783,0.4530544004915781,0.0270896247860445,4.918600169166515,12.293610781934849,0.0684743729313496,1.5464786789456897
WT,A,47,1.271377792947528,6.232212251514209,5.814492158060617,0.0616391709678586,2.2580101182130194,10.353968257376744,1.3478480093343568,0.0150890739736666,7.344623362193803,10.870280129701364,0.1200652985236978,1.3879989434141402
WT,A,48,0.955791944339264,8.558365654446927,5.322723160433586,0.087387628120353,2.0551114333201843,14.305611992134711,0.5226155010830354,0.0303566926365107,15.589611162806747,8.172021124100707,0.2574666460512436,1.4030884748679584
WT,A,49,0.0514813955966265,10.224162070421889,4.457920804339343,0.1340975182187002,1.605080487395599,9.253589612149174,0.8494688107098259,0.0340562827878295,17.996610068058978,0.4401659323511571,0.530376632752816,0.86650650473827
WT,A,50,1.2544096326105367,7.902358203261707,5.830195364647201,0.0686865002436998,2.016484614250461,9.89255870093214,1.1350543707094514,0.0398782818082904,7.897572238462309,10.725202358820091,0.1207397293450898,1.4629323759185235
WT,A,51,1.4037614695336909,8.691398662079644,5.597792345845644,0.1384036000999517,0.8145996630265278,13.325554476870366,0.4609283594289061,0.0297634442273966,5.42375118946954,12.002160564513058,0.0702375994380269,1.629902980584025
WT,A,52,0.3097476990233223,9.82231970836625,3.424141203675927,0.078011703473693,1.3683973938905374,10.904836822775636,1.234011198672234,0.0314123391809346,20.701307006788817,2.6483428266494053,0.4202777959798228,1.1976474331220104
WT,A,53,1.3062666648170982,6.650764176673052,3.601595905531892,0.0749418299194915,2.428399531966116,10.114664832126522,0.7640203168516695,0.0205303318497806,10.450796317117629,11.16857998418619,0.1715748999706111,1.3956453607640444
WT,A,54,0.6512371110325591,12.442885442875813,3.6591726134169207,0.1040236858313028,0.945105703043086,15.470659272204426,0.6683392966973263,0.0180432888706719,23.309783179587743,5.5680772993283805,0.3396523847283017,1.556130172996865
WT,A,55,1.0956242126079283,10.521137829615231,4.394693311345547,0.1307210844460427,1.1130881718731107,13.384730955448491,0.6941157731171701,0.0167445290654086,14.799049713017418,9.367587017797788,0.2062993376373329,1.591123746899961
